"","Import_ISO3","Year","imports","unequal_imports","prop_unequal"
"1","ABW",1984,822.899993605912,NA,NA
"2","ABW",1985,1174.50001779199,NA,NA
"3","ABW",1986,2355.9999832809,NA,NA
"4","ABW",1987,1517.00000303984,NA,NA
"5","ABW",1988,1010.59999950975,NA,NA
"6","ABW",1989,161.300003051758,NA,NA
"7","ABW",1990,26.2000004798174,NA,NA
"8","ABW",1991,314.900000825524,NA,NA
"9","ABW",1992,395.59999370575,NA,NA
"10","ABW",1993,1358.79999732971,NA,NA
"11","ABW",1994,1399.89999895543,NA,NA
"12","ABW",1996,2035.60005465895,NA,NA
"13","ABW",1997,2780.8999863416,NA,NA
"14","ABW",1998,2265.29996510595,NA,NA
"15","ABW",2000,89.2000005841255,NA,NA
"16","ABW",2001,189.49999974668,NA,NA
"17","ABW",2002,408.900001049042,NA,NA
"18","ABW",2003,211.500001564622,NA,NA
"19","ABW",2004,654.600011840463,NA,NA
"20","ABW",2005,204.600000873208,NA,NA
"21","ABW",2006,21.3000001832843,NA,NA
"22","ABW",2007,317.79999858886,NA,NA
"23","ABW",2008,281.499996483326,NA,NA
"24","ABW",2009,305.599999591708,NA,NA
"25","ABW",2010,15.1999998092651,NA,NA
"26","ABW",2011,18.6000003367662,NA,NA
"27","ABW",2012,152.899999193847,NA,NA
"28","ABW",2013,151.899998307228,NA,NA
"29","ABW",2014,234.199998021126,NA,NA
"30","ABW",2015,240.699999421835,NA,NA
"31","AFG",2010,0.600000023841858,NA,NA
"32","AGO",1982,504.500005722046,NA,NA
"33","AGO",1989,36064.6999029815,NA,NA
"34","AGO",1990,11327.7999152839,NA,NA
"35","AGO",1991,765.400002479553,NA,NA
"36","AGO",1992,2051.99999505281,NA,NA
"37","AGO",1993,3779.51900530187,1.58600001875311,0.000419630121327154
"38","AGO",1994,3271.65634796803,68.3999995328486,0.0209068411403693
"39","AGO",1995,2728.01801592187,32.9333333186805,0.0120722565344025
"40","AGO",1996,2767.63336795568,NA,NA
"41","AGO",1997,2977.46032637585,72.6376648914884,0.0243958464359801
"42","AGO",1998,3743.59994383901,NA,NA
"43","AGO",1999,4516.0333146677,NA,NA
"44","AGO",2000,3750.06761092448,NA,NA
"45","AGO",2001,10931.4390832602,202.301002725028,0.0185063468024828
"46","AGO",2002,8731.19803774962,965.26634027157,0.110553710510082
"47","AGO",2003,6636.23367028031,3038.10033315141,0.45780490623126
"48","AGO",2004,7984.27633674309,509.558668959886,0.0638202696736499
"49","AGO",2005,9119.27398959291,NA,NA
"50","AGO",2006,13919.0001170933,NA,NA
"51","AGO",2007,16868.7410774532,NA,NA
"52","AGO",2008,14534.4342778526,0.0133333336561918,0.000000917361721915036
"53","AGO",2009,13086.0123189306,NA,NA
"54","AGO",2010,23203.1566716823,NA,NA
"55","AGO",2011,39146.9006919852,NA,NA
"56","AGO",2012,47094.3482238253,NA,NA
"57","AGO",2013,54454.4429578201,4774.86171887547,0.0876854386808076
"58","AGO",2014,90221.7084630849,2998.6743432075,0.0332367275491623
"59","AGO",2015,38712.052104626,762.846658043563,0.0197056631351353
"60","ALB",1986,156.266668300144,130.76666734647,0.836817401746251
"61","ALB",1987,337.120000394061,275.040001424029,0.815851925434664
"62","ALB",1988,564.215003957972,222.449671735987,0.394264013143041
"63","ALB",1989,685.536661767401,675.236661576666,0.984975274459895
"64","ALB",1990,2664.1126571307,2664.1126571307,1
"65","ALB",1991,543.783994300291,533.851661307737,0.981734782382968
"66","ALB",1992,337.029331324622,318.326331077144,0.944506312925435
"67","ALB",1993,644.819996773498,644.819996773498,1
"68","ALB",1994,209.000001171604,209.000001171604,1
"69","ALB",1995,749.113327214029,735.113327020314,0.981311238653594
"70","ALB",1996,1383.18667325564,1383.18667325564,1
"71","ALB",1997,1467.47335029201,1466.8733502719,0.999591133958244
"72","ALB",1998,2033.78000956774,2033.78000956774,1
"73","ALB",1999,2455.35331843275,2455.35331843275,1
"74","ALB",2000,1418.56366777048,1413.66366770212,0.996545801799605
"75","ALB",2001,2745.8429877609,2745.77632109169,0.999975720873513
"76","ALB",2002,3105.65333292028,3105.58666625014,0.99997853376955
"77","ALB",2003,4167.14806970675,4164.5480696829,0.999376072080869
"78","ALB",2004,3065.32670265157,3062.38670264371,0.999040885265079
"79","ALB",2005,3492.60662157834,3492.60662157834,1
"80","ALB",2006,5648.72642175551,5648.57308841473,0.999972855236858
"81","ALB",2007,4056.73334823456,4013.66668116953,0.98938390488895
"82","ALB",2008,3843.56665367476,3829.13332075468,0.996244807435231
"83","ALB",2009,2948.14002856996,2935.74002871301,0.99579395831379
"84","ALB",2010,4282.44832479086,3996.84831240278,0.933309174862716
"85","ALB",2011,5424.1033398686,5423.70333986264,0.999926255091229
"86","ALB",2012,5132.15699655074,4182.67199916695,0.814992994559223
"87","ALB",2013,8398.54399213684,6961.94396054489,0.828946537288252
"88","ALB",2014,6631.87835876725,5573.8783670821,0.840467521499925
"89","ALB",2015,11675.6603524436,10931.0403681772,0.936224593574229
"90","AND",1995,428.9999955073,NA,NA
"91","AND",1996,354.700000601821,NA,NA
"92","AND",1997,434.199999086559,NA,NA
"93","AND",1998,826.500006362796,NA,NA
"94","AND",1999,341.700000792742,NA,NA
"95","AND",2000,215.400000087917,NA,NA
"96","AND",2001,179.599998570979,NA,NA
"97","AND",2002,125.800001181662,NA,NA
"98","AND",2003,70.4000001177192,NA,NA
"99","AND",2004,235.333336669952,NA,NA
"100","AND",2005,400.433334168163,NA,NA
"101","AND",2006,84.5000001862645,NA,NA
"102","AND",2007,88.900000475347,NA,NA
"103","AND",2008,205.899998553097,NA,NA
"104","AND",2009,324.100003451109,NA,NA
"105","AND",2010,380.400001332164,NA,NA
"106","AND",2011,175.19999993965,NA,NA
"107","AND",2012,56.5999996699393,NA,NA
"108","AND",2013,39.9000002220273,NA,NA
"109","AND",2014,163.833333954215,NA,NA
"110","AND",2015,63.1000006871764,NA,NA
"111","ANT",1976,353.400000810623,353.400000810623,1
"112","ANT",1977,671.199997521937,671.199997521937,1
"113","ANT",1978,366.399992465973,366.399992465973,1
"114","ANT",1979,431.800004243851,431.800004243851,1
"115","ANT",1980,306.600000858307,306.600000858307,1
"116","ANT",1981,211.899996757507,211.899996757507,1
"117","ANT",1982,52.0000014305115,52.0000014305115,1
"118","ANT",1983,144.699996948242,144.699996948242,1
"119","ANT",1984,547.39998626709,547.39998626709,1
"120","ANT",1985,26.7999992370605,26.7999992370605,1
