country,max_yr,min_yr,total_years,mov_avg_imports,mov_avg_unequal,mov_avg_prop_unequal,time
ABW,2015,1984,31,1451.1333315596,,,1984
ABW,2015,1984,31,1467.59999942966,,,1985
ABW,2015,1984,31,1376.19999944568,,,1986
ABW,2015,1984,31,1243.88000133485,,,1987
ABW,2015,1984,31,1014.21999787241,,,1988
ABW,2015,1984,31,606.000001381338,,,1989
ABW,2015,1984,31,381.71999951452,,,1990
ABW,2015,1984,31,451.359999078512,,,1991
ABW,2015,1984,31,699.079998259246,,,1992
ABW,2015,1984,31,867.299997704104,,,1993
ABW,2015,1984,31,1297.47501116246,,,1994
ABW,2015,1984,31,1893.80000932142,,,1995
ABW,2015,1984,31,2120.42500126548,,,1996
ABW,2015,1984,31,2360.6000020355,,,1997
ABW,2015,1984,31,1792.75000167266,,,1998
ABW,2015,1984,31,1331.22498794459,,,1999
ABW,2015,1984,31,738.224991621449,,,2000
ABW,2015,1984,31,224.775000736117,,,2001
ABW,2015,1984,31,310.740002956987,,,2002
ABW,2015,1984,31,333.820003014803,,,2003
ABW,2015,1984,31,300.180003102124,,,2004
ABW,2015,1984,31,281.960002610087,,,2005
ABW,2015,1984,31,295.960001593828,,,2006
ABW,2015,1984,31,226.159999144077,,,2007
ABW,2015,1984,31,188.279998931288,,,2008
ABW,2015,1984,31,187.739998961985,,,2009
ABW,2015,1984,31,154.759999082982,,,2010
ABW,2015,1984,31,128.839999447763,,,2011
ABW,2015,1984,31,114.559999133646,,,2012
ABW,2015,1984,31,159.65999905616,,,2013
ABW,2015,1984,31,194.924998736009,,,2014
ABW,2015,1984,31,208.933331916729,,,2015
AFG,,,,,,,
AGO,2015,1982,33,504.500005722046,,,1982
AGO,2015,1982,33,504.500005722046,,,1983
AGO,2015,1982,33,504.500005722046,,,1984
AGO,2015,1982,33,,,,1985
AGO,2015,1982,33,,,,1986
AGO,2015,1982,33,36064.6999029815,15468.0999978781,0.42889861941148,1987
AGO,2015,1982,33,23696.2499091327,10170.5499710925,0.429539617653891,1988
AGO,2015,1982,33,16052.6332735817,6893.36664707711,0.43399496762159,1989
AGO,2015,1982,33,12552.4749539494,5425.6749854032,0.45008199604354,1990
AGO,2015,1982,33,10797.8837642199,4400.73718734403,0.375992808455417,1991
AGO,2015,1982,33,4239.27505321724,1341.03718782756,0.300580921671973,1992
AGO,2015,1982,33,2519.31867334483,381.923865679093,0.22022169161531,1993
