"","ISO3","imports","unequal_imports","Total_fished","disp_fished","unequal_fish","unequal_fish_hs","unequal_fishing_in_waters","unequal_fish_eez","Total_fished_fmi_wadj","disp_fished_fmi_wadj","coi_disp_fished_fmi_wadj","unequal_fish_fmi_wadj","unequal_fish_hs_fmi_wadj","unequal_fishing_in_waters_fmi_wadj","unequal_fish_eez_fmi_wadj","Total_fished_fmi","disp_fished_fmi","coi_disp_fished_fmi","unequal_fish_fmi","unequal_fish_hs_fmi","unequal_fishing_in_waters_fmi","unequal_fish_eez_fmi","ME_score","ME_quant","FMI_weight_adj","FMI","Country.Name"
"26","BOL",4671.24000085052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bolivia"
"27","BRA",79807.7001181454,4436.54000170082,544884.70044,38203.16616,38203.16616,38203.16616,74244.3062414,0,544884.70044,38203.16616,38203.16616,NA,0,39961.854584,NA,544884.70044,38203.16616,38203.16616,NA,0,39961.854584,NA,62,3,33,32,"Brazil"
"28","BRB",684.372002114308,446.786670077732,2882.67564018,2417.9928534,2417.9928534,2417.9928534,NA,0,2882.67564018,2417.9928534,NA,NA,0,NA,NA,2882.67564018,2417.9928534,NA,NA,0,NA,NA,60,3,NA,NA,"Barbados"
"29","BRN",2243.79466341212,NA,2273.99964,NA,NA,0,NA,NA,2273.99964,NA,NA,NA,0,NA,NA,2273.99964,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"Brunei"
"30","BTN",63.8499998804181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bhutan"
"31","BWA",282.705731183989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Botswana"
"32","CAF",258.175004094839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Central African Republic"
"33","CAN",243334.688746861,19772.0835323263,897463.65478141,104039.21412141,60540.5540448,46842.908776,68937.7814736,13697.6452688,897463.65478141,104039.21412141,103859.45953,46842.908776,46842.908776,71906.1637922,0,897463.65478141,104039.21412141,103859.45953,46842.908776,46842.908776,71906.1637922,0,68,5,81,82,"Canada"
"34","CHE",17516.6626192284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland"
"35","CHL",98206.5347008727,75755.6662162377,3314439.55522,559387.13822,559387.13822,559387.13822,NA,0,3314439.55522,559387.13822,559387.13822,559387.13822,559387.13822,NA,0,3314439.55522,559387.13822,559387.13822,559387.13822,559387.13822,NA,0,69,5,66,64,"Chile"
"36","CHN",1335636.78125486,1121703.28104252,12647933.6559875,2573380.63498747,2533224.56930669,548551.2837,NA,1984673.28560669,12647933.6559875,2573380.63498747,2527201.7553,NA,0,696223.26216,NA,12647933.6559875,2573380.63498747,2527201.7553,NA,0,696223.26216,NA,72,5,37,35,"China"
"37","CIV",140318.360058019,232.566664278507,48016.7762396,11863.5017516,11863.5017516,11863.5017516,1676.387572186,0,48016.7762396,11863.5017516,NA,NA,0,NA,NA,48016.7762396,11863.5017516,NA,NA,0,NA,NA,53,1,NA,NA,"Côte d’Ivoire"
"38","CMR",98626.1803558127,NA,71346.76254032,439.00734032,NA,0,NA,NA,71346.76254032,439.00734032,NA,NA,0,NA,NA,71346.76254032,439.00734032,NA,NA,0,NA,NA,49,1,NA,NA,"Cameroon"
"39","COD",26359.8547778383,0.200000004842877,4408.99856012,673.65594312,673.65594312,673.65594312,NA,0,4408.99856012,673.65594312,NA,NA,0,NA,NA,4408.99856012,673.65594312,NA,NA,0,NA,NA,54,1,NA,NA,"Congo - Kinshasa"
"40","COG",6470.25999942273,63.9999983236194,32240.01241894,1141.84002894,1141.84002894,1141.84002894,NA,0,32240.01241894,1141.84002894,NA,NA,0,NA,NA,32240.01241894,1141.84002894,NA,NA,0,NA,NA,53,1,NA,NA,"Congo - Brazzaville"
"41","COK",46.0400001585484,9.46000008881091,5498.19342008,4891.466064,4891.466064,4891.466064,NA,0,5498.19342008,4891.466064,NA,NA,0,NA,NA,5498.19342008,4891.466064,NA,NA,0,NA,NA,72,5,NA,NA,"Cook Islands"
"42","COL",29231.3294014563,124.488889661928,80052.09942,29468.929624,29468.929624,29468.929624,NA,0,80052.09942,29468.929624,NA,NA,0,NA,NA,80052.09942,29468.929624,NA,NA,0,NA,NA,58.5,2,NA,NA,"Colombia"
"43","COM",16.6749999672174,0.300000011920929,35521.0098804,33341.087962,33341.087962,33341.087962,2287.4084773084,0,35521.0098804,33341.087962,NA,NA,0,NA,NA,35521.0098804,33341.087962,NA,NA,0,NA,NA,53,1,NA,NA,"Comoros"
"44","CPV",1081.64673590891,235.577777801819,21090.5571586,13566.012118,13566.012118,13566.012118,6727.418155046,0,21090.5571586,13566.012118,NA,NA,0,NA,NA,21090.5571586,13566.012118,NA,NA,0,NA,NA,55,2,NA,NA,"Cape Verde"
"45","CRI",10676.5266728791,1222.33335363617,20317.19476,10583.1511634,10583.1511634,10583.1511634,NA,0,20317.19476,10583.1511634,NA,NA,0,NA,NA,20317.19476,10583.1511634,NA,NA,0,NA,NA,52,1,NA,NA,"Costa Rica"
"46","CUB",11593.1749476687,11574.4669482346,236581.0352802,214636.3576462,214636.3576462,3615.2643662,NA,211021.09328,236581.0352802,214636.3576462,NA,NA,0,NA,NA,236581.0352802,214636.3576462,NA,NA,0,NA,NA,73,5,NA,NA,"Cuba"
"47","CUW",312.696668865625,NA,22043.4618,22043.4618,NA,0,NA,NA,22043.4618,22043.4618,NA,NA,0,NA,NA,22043.4618,22043.4618,NA,NA,0,NA,NA,NA,NA,NA,NA,"Curaçao"
"48","CYM",25.9800001397729,7.92000007331371,125.000120028,110.25922084,110.25922084,110.25922084,NA,0,125.000120028,110.25922084,NA,NA,0,NA,NA,125.000120028,110.25922084,NA,NA,0,NA,NA,69,5,NA,NA,"Cayman Islands"
"49","CYP",3273.00567575265,1233.55607267432,1626.1744400954,1247.0249288154,583.3338437702,0,120.241754682,583.3338437702,1626.1744400954,1247.0249288154,NA,NA,0,NA,NA,1626.1744400954,1247.0249288154,NA,NA,0,NA,NA,66,4,NA,NA,"Cyprus"
"50","CZE",26799.9123403668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Czechia"
"51","DEU",444673.614896254,44892.5560598532,375012.614824401,359103.501115174,218651.798647774,59278.662468,57472.593909274,159373.136179774,375012.614824401,359103.501115174,NA,NA,0,NA,NA,375012.614824401,359103.501115174,NA,NA,0,NA,NA,65,4,NA,NA,"Germany"
"52","DJI",86.0880005375134,NA,1349.99854,NA,NA,0,NA,NA,1349.99854,NA,NA,NA,0,NA,NA,1349.99854,NA,NA,NA,0,NA,NA,43,1,NA,NA,"Djibouti"
"53","DMA",70.6800002448725,64.4333336999018,706.47308,NA,NA,0,2714.9585576,NA,706.47308,NA,NA,NA,0,NA,NA,706.47308,NA,NA,NA,0,NA,NA,66,4,NA,NA,"Dominica"
"54","DNK",697081.507587795,402879.329360932,839196.40135928,407745.37793522,194786.66318262,3183.0407402,29935.15843086,191603.62244242,839196.40135928,407745.37793522,NA,NA,0,NA,NA,839196.40135928,407745.37793522,NA,NA,0,NA,NA,68.5,5,NA,NA,"Denmark"
"55","DOM",11956.5659293939,7188.97260902483,13375.00374,NA,NA,0,NA,NA,13375.00374,NA,NA,NA,0,NA,NA,13375.00374,NA,NA,NA,0,NA,NA,63,3,NA,NA,"Dominican Republic"
"56","DZA",7369.01999370307,5826.89998403192,121852.19392,NA,NA,0,NA,NA,121852.19392,NA,NA,NA,0,NA,NA,121852.19392,NA,NA,NA,0,NA,NA,69,5,NA,NA,"Algeria"
"57","ECU",287833.202977121,44005.5069530881,463561.47484,255322.31934,255322.31934,255322.31934,NA,0,463561.47484,255322.31934,NA,NA,0,NA,NA,463561.47484,255322.31934,NA,NA,0,NA,NA,61,3,NA,NA,"Ecuador"
"58","EGY",113763.048753763,74383.281910369,127695.40951927,71404.57434927,43817.1969175994,3448.5329518,NA,40368.6639657994,127695.40951927,71404.57434927,NA,NA,0,NA,NA,127695.40951927,71404.57434927,NA,NA,0,NA,NA,66,4,NA,NA,"Egypt"
"59","ERI",32.853333003819,5.3777779067556,2504.96134,NA,NA,0,NA,NA,2504.96134,NA,NA,NA,0,NA,NA,2504.96134,NA,NA,NA,0,NA,NA,64,4,NA,NA,"Eritrea"
"60","ESP",836465.967167484,351400.923150177,1540848.39306926,1142747.17859275,981003.157680129,487672.9329,199664.299799852,493330.224780129,1540848.39306926,1142747.17859275,585567.4989672,529683.1885546,487672.9329,110032.1674244,42010.2556546,1540848.39306926,1142747.17859275,585567.4989672,529683.1885546,487672.9329,110032.1674244,42010.2556546,62.3333333333333,3,68,71,"Spain"
"61","EST",55023.6665421849,4611.86279450429,90433.3465968524,68807.4749688524,50555.5700775976,8152.8807938,5224.21334897,42402.6892837976,90433.3465968524,68807.4749688524,NA,NA,0,NA,NA,90433.3465968524,68807.4749688524,NA,NA,0,NA,NA,67,4,NA,NA,"Estonia"
"62","ETH",53.0053335332312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ethiopia"
"63","FIN",24173.323695941,14849.3085431281,117065.9955776,57836.4238516,41693.32515398,0,26844.2147508452,41693.32515398,117065.9955776,57836.4238516,NA,NA,0,NA,NA,117065.9955776,57836.4238516,NA,NA,0,NA,NA,64,4,NA,NA,"Finland"
"64","FJI",28910.3237531139,12647.9280784245,42524.619,18944.015116,18944.015116,18944.015116,NA,0,42524.619,18944.015116,NA,NA,0,NA,NA,42524.619,18944.015116,NA,NA,0,NA,NA,52,1,NA,NA,"Fiji"
"65","FLK",49009.0550852293,49004.4392851638,78313.721579,11170.092115,11170.092115,11170.092115,4104.585544,0,78313.721579,11170.092115,NA,NA,0,NA,NA,78313.721579,11170.092115,NA,NA,0,NA,NA,72,5,NA,NA,"Falkland Islands"
"66","FRA",647547.056565509,267201.403336805,456454.241826446,264512.550946846,132827.37106792,66723.824876,32553.567388333,66103.5461919198,456454.241826446,264512.550946846,199191.81091852,72200.78105654,66723.824876,27649.174113196,5476.95618054,456454.241826446,264512.550946846,199191.81091852,72200.78105654,66723.824876,27649.174113196,5476.95618054,68.25,5,71,73,"France"
"67","FRO",33692.2461665725,31042.5391038052,705025.887556164,413324.822436164,354850.323636564,57090.0591046,9493.6252026,297760.264531964,705025.887556164,413324.822436164,NA,NA,0,NA,NA,705025.887556164,413324.822436164,NA,NA,0,NA,NA,74,5,NA,NA,"Faroe Islands"
"68","FSM",788.401331133209,NA,28603.46706002,18852.44630922,11082.75542844,7222.1784884,22885.3085407212,3860.57694004,28603.46706002,18852.44630922,NA,NA,0,NA,NA,28603.46706002,18852.44630922,NA,NA,0,NA,NA,54,1,NA,NA,"Micronesia (Federated States of)"
"69","GAB",1434.26133175623,962.046662450582,22938.6485596432,337.7121036432,337.7121036432,326.941287,719.87465016,10.7708166432,22938.6485596432,337.7121036432,NA,NA,0,NA,NA,22938.6485596432,337.7121036432,NA,NA,0,NA,NA,67,4,NA,NA,"Gabon"
"70","GBR",393932.460990355,386391.901329656,631770.462302246,312473.107141246,304165.271830035,8059.8258416,NA,296105.445988435,631770.462302246,312473.107141246,167365.019791499,49186.5102434,8059.8258416,495878.3671912,41126.6844018,631770.462302246,312473.107141246,167365.019791499,49186.5102434,8059.8258416,495878.3671912,41126.6844018,75.5,5,75,76,"United Kingdom"
