"","Year","Fished_year","IUU_year","prop_iuu"
"1",2007,82519451.3089019,31197628.0580031,0.378063929935967
"2",2008,81426025.2439744,30429109.1270052,0.373702499119064
"3",2009,80823041.6609442,31407297.8769882,0.38859336683644
"4",2010,78940524.3247145,31075484.9606939,0.393656936364748
"5",2011,83247796.1712794,31984234.5439868,0.384205180377152
